,Ville_Id,Ville,Latitude_return,Longitude_return,avg_humidity,avg_wind_speed,avg_clouds,avg_pop,sum_rain,avg_feel_temp
0,0,Mont Saint Michel,48.636,-1.5115,57.375,4.82,61.875,0.35625,12.059999999999999,21.765
1,1,St Malo,48.6495,-2.026,70.5,5.11375,58.125,0.35875,18.07,19.4975
2,2,Bayeux,49.2765,-0.7025,57.0,4.92,62.375,0.355,9.56,22.55
3,3,Le Havre,49.4939,0.108,73.75,4.975,60.0,0.345,20.46,19.68125
4,4,Rouen,49.4405,1.094,63.625,4.7375,62.625,0.48125,41.46,23.39125
5,5,Paris,48.8535,2.3484,55.875,4.11625,51.875,0.66875,46.59,24.72125
6,6,Amiens,49.8942,2.2957,65.75,4.9325,63.5,0.6925,42.089999999999996,22.91625
7,7,Lille,50.6366,3.0635,61.875,4.56875,70.5,0.67625,27.49,23.16875
8,8,Strasbourg,48.5846,7.7507,46.75,4.4375,64.5,0.53625,27.41,26.94375
9,9,Chateau du Haut Koenigsbourg,48.2495,7.3455,47.125,3.1975,67.875,0.64875,36.54,23.99125
10,10,Colmar,48.0778,7.358,47.0,4.0675,68.75,0.67,42.57,27.2675
11,11,Eguisheim,48.0448,7.308,47.125,3.91125,68.5,0.6825,44.76,27.23125
12,12,Besancon,47.238,6.0244,54.375,4.125,78.5,0.76375,41.019999999999996,25.8925
13,13,Dijon,47.3216,5.0415,62.25,4.52,66.25,0.715,70.60000000000001,24.12625
14,14,Annecy,45.8992,6.1289,52.0,2.69875,58.5,0.68125,25.450000000000003,26.9175
15,15,Grenoble,45.1876,5.7358,50.5,2.86375,71.25,0.50875,11.99,28.81375
16,16,Lyon,45.7578,4.832,45.75,5.45625,58.5,0.5575,32.76,27.5875
17,17,Gorges du Verdon,43.7497,6.3286,38.0,3.8875,64.5,0.23375,1.1099999999999999,26.2425
18,18,Bormes les Mimosas,43.1507,6.3419,58.5,6.2275,51.125,0.06625,0.27,27.7225
19,19,Cassis,43.214,5.5396,49.625,7.47375,59.125,0.08499999999999999,1.29,28.5025
20,20,Marseille,43.2962,5.37,51.375,8.06625,50.25,0.0775,0.49,28.3525
21,21,Aix en Provence,43.5298,5.4475,34.875,5.5075,56.5,0.10625,0.96,29.478749999999998
22,22,Avignon,43.9492,4.8059,38.25,7.30125,50.875,0.25,6.33,29.84
23,23,Uzes,44.0121,4.4197,36.5,7.195,62.625,0.28875,5.47,29.10625
24,24,Nimes,43.8374,4.3601,37.5,7.115,62.125,0.3025,6.67,29.64875
25,25,Aigues Mortes,43.5658,4.1913,55.25,6.83125,63.0,0.3075,5.87,27.14375
26,26,Saintes Maries de la mer,43.4523,4.4287,58.875,8.5875,62.75,0.2575,3.55,26.33
27,27,Collioure,42.5251,3.0832,55.625,6.915,65.5,0.32125,6.529999999999999,27.16125
28,28,Carcassonne,43.213,2.3491,55.75,6.67,78.25,0.41,10.639999999999999,26.71375
29,29,Ariege,42.9455,1.4066,55.0,2.7512499999999998,74.75,0.57875,20.349999999999998,20.17375
30,30,Toulouse,43.6045,1.4442,59.0,4.76625,73.0,0.6675,27.25,25.63375
31,31,Montauban,44.0176,1.355,58.625,4.75625,71.5,0.65375,64.66,26.0075
32,32,Biarritz,43.4833,-1.5593,73.375,4.7,69.5,0.67375,69.71000000000001,22.9625
33,33,Bayonne,43.4945,-1.4737,71.375,4.35625,69.0,0.6725,62.730000000000004,23.57875
34,34,La Rochelle,46.1591,-1.152,68.125,5.46,60.125,0.4975,28.169999999999998,22.22125
